Pokemon,cluster_p1
Abomasnow,5
Abra,6
Absol,9
Accelgor,16
Aegislash,7
Aerodactyl,13
Aggron,7
Aipom,10
Alakazam,6
Alomomola,3
Altaria,13
Amaura,8
Ambipom,10
Amoonguss,5
Ampharos,11
Anorith,7
Arbok,9
Arcanine,17
Arceus,2
Arceus-Bug,2
Arceus-Dark,2
Arceus-Dragon,2
Arceus-Electric,2
Arceus-Fairy,2
Arceus-Fighting,2
Arceus-Fire,2
Arceus-Flying,2
Arceus-Ghost,2
Arceus-Grass,2
Arceus-Ground,2
Arceus-Ice,2
Arceus-Poison,2
Arceus-Psychic,2
Arceus-Rock,2
Arceus-Steel,2
Arceus-Water,2
Archen,13
Archeops,13
Ariados,16
Armaldo,7
Aromatisse,0
Aron,7
Articuno,13
Audino,14
Aurorus,8
Avalugg,7
Axew,8
Azelf,6
Azumarill,12
Azurill,3
Bagon,8
Baltoy,0
Banette,4
Barbaracle,7
Barboach,3
Basculin,12
Bastiodon,7
Bayleef,5
Beartic,12
Beautifly,16
Beedrill,16
Beheeyem,6
Beldum,15
Bellossom,5
Bellsprout,5
Bergmite,7
Bibarel,10
Bidoof,10
Binacle,7
Bisharp,9
Blastoise,12
Blaziken,17
Blissey,14
Blitzle,11
Boldore,7
Bonsly,7
Bouffalant,8
Braixen,6
Braviary,13
Breloom,1
Bronzong,0
Bronzor,0
Budew,5
Buizel,12
Bulbasaur,5
Buneary,14
Bunnelby,7
Burmy,15
Butterfree,16
Cacnea,5
Cacturne,5
Camerupt,7
Carbink,0
Carnivine,5
Carracosta,7
Carvanha,12
Cascoon,15
Castform,3
Caterpie,15
Celebi,6
Chandelure,4
Chansey,14
Charmander,17
Charmeleon,17
Chatot,13
Cherrim,5
Cherubi,5
Chesnaught,7
Chespin,7
Chikorita,5
Chimchar,17
Chimecho,6
Chinchou,3
Chingling,6
Cinccino,14
Clamperl,3
Clauncher,3
Clawitzer,3
Claydol,0
Clefairy,14
Cleffa,14
Cloyster,3
Cobalion,7
Cofagrigus,4
Combee,15
Combusken,17
Conkeldurr,1
Corphish,12
Corsola,3
Cottonee,5
Cradily,5
Cranidos,7
Crawdaunt,12
Cresselia,6
Croagunk,1
Crobat,13
Croconaw,12
Crustle,7
Cryogonal,3
Cubchoo,12
Cubone,7
Cyndaquil,17
Darkrai,9
Darmanitan,17
Darumaka,17
Dedenne,11
Deerling,5
Deino,8
Delcatty,14
Delibird,12
Delphox,6
Deoxys,6
Deoxys-Attack,6
Deoxys-Defense,6
Deoxys-Speed,6
Dewgong,3
Dewott,12
Dialga,8
Diancie,0
Diggersby,7
Diglett,10
Ditto,15
Dodrio,13
Doduo,13
Donphan,7
Doublade,7
Dragalge,3
Dragonair,8
Dragonite,8
Drapion,9
Dratini,8
Drifblim,4
Drifloon,4
Drilbur,7
Drowzee,6
Druddigon,9
Ducklett,13
Dugtrio,10
Dunsparce,7
Duosion,0
Durant,7
Dusclops,4
Dusknoir,4
Duskull,4
Dustox,16
Dwebble,7
Eelektrik,11
Eelektross,11
Eevee,14
Ekans,9
Electabuzz,11
Electivire,11
Electrike,11
Electrode,11
Elekid,11
Elgyem,6
Emboar,17
Emolga,11
Empoleon,12
Entei,17
Escavalier,16
Espeon,14
Espurr,6
Excadrill,7
Exeggcute,5
Exeggutor,5
Exploud,7
Farfetch'd,13
Fearow,13
Feebas,3
Fennekin,17
Feraligatr,12
Ferroseed,7
Ferrothorn,7
Finneon,3
Flaaffy,11
Flabebe,5
Flareon,14
Fletchinder,13
Fletchling,13
Floatzel,12
Floette,5
Floette-Eternal,5
Florges,5
Flygon,16
Foongus,5
Forretress,7
Fraxure,8
Frillish,4
Froakie,12
Frogadier,12
Froslass,4
Furfrou,14
Furret,10
Gabite,8
Gallade,6
Galvantula,11
Garbodor,7
Gardevoir,6
Gastly,4
Gastrodon,3
Genesect,11
Gengar,4
Geodude,7
Gible,8
Gigalith,7
Girafarig,6
Giratina,8
Giratina-Origin,8
Glaceon,14
Glalie,7
Glameow,10
Gligar,16
Gliscor,16
Gloom,5
Gogoat,5
Golbat,13
Goldeen,3
Golduck,12
Golem,7
Golett,7
Golurk,7
Goodra,8
Goomy,8
Gorebyss,3
Gothita,6
Gothitelle,6
Gothorita,6
Gourgeist,4
Gourgeist-Large,15
Gourgeist-Small,15
Gourgeist-Super,15
Granbull,14
Graveler,7
Greninja,12
Grimer,4
Grotle,5
Grovyle,5
Growlithe,17
Grumpig,6
Gulpin,4
Gurdurr,1
Gyarados,8
Happiny,14
Hariyama,1
Haunter,4
Hawlucha,13
Haxorus,8
Heatmor,17
Heliolisk,11
Helioptile,11
Heracross,1
Herdier,14
Hippopotas,7
Hippowdon,7
Hitmonchan,1
Hitmonlee,1
Hitmontop,1
Honchkrow,13
Honedge,7
Ho-Oh,13
Hoopa,6
Hoopa-Unbound,6
Hoothoot,13
Hoppip,5
Horsea,3
Houndoom,9
Houndour,9
Huntail,3
Hydreigon,8
Hypno,6
Igglybuff,14
Illumise,16
Inkay,9
Ivysaur,5
Jellicent,4
Jigglypuff,14
Jirachi,6
Jolteon,14
Joltik,11
Jumpluff,5
Jynx,6
Kabuto,3
Kabutops,12
Kadabra,6
Kakuna,15
Kangaskhan,10
Karrablast,16
Kecleon,10
Keldeo,3
Kingdra,3
Kingler,12
Kirlia,6
Klang,11
Klefki,0
Klink,11
Klinklang,11
Koffing,4
Krabby,12
Kricketot,15
Kricketune,16
Krokorok,9
Krookodile,9
Kyogre,3
Kyurem,8
Kyurem-Black,8
Kyurem-White,8
Lairon,7
Lampent,4
Landorus,7
Landorus-Therian,7
Lanturn,3
Lapras,3
Larvesta,17
Larvitar,7
Latias,6
Latios,6
Leafeon,14
Leavanny,5
Ledian,16
Ledyba,16
Lickilicky,7
Lickitung,7
Liepard,9
Lileep,5
Lilligant,5
Lillipup,14
Linoone,10
Litleo,17
Litwick,4
Lombre,12
Lopunny,14
Lotad,5
Loudred,7
Lucario,1
Ludicolo,12
Lugia,13
Lumineon,3
Lunatone,0
Luvdisc,3
Luxio,11
Luxray,11
Machamp,1
Machoke,1
Machop,1
Magby,17
Magcargo,7
Magikarp,15
Magmar,17
Magmortar,17
Magnemite,11
Magneton,11
Magnezone,11
Makuhita,1
Malamar,9
Mamoswine,12
Manaphy,3
Mandibuzz,13
Manectric,11
Mankey,1
Mantine,3
Mantyke,3
Maractus,5
Mareep,11
Marill,12
Marowak,7
Marshtomp,12
Masquerain,16
Mawile,9
Medicham,1
Meditite,1
Meganium,5
Meloetta,6
Meowstic-F,6
Meowstic-M,6
Meowth,9
Metagross,7
Metang,7
Metapod,15
Mew,6
Mewtwo,6
Mienfoo,1
Mienshao,1
Mightyena,9
Milotic,3
Miltank,7
Mime Jr.,6
Minccino,14
Minun,14
Misdreavus,4
Mismagius,4
Moltres,13
Monferno,17
Mothim,16
Mr. Mime,6
Mudkip,12
Muk,4
Munchlax,7
Munna,0
Murkrow,13
Musharna,0
Natu,6
Nidoking,10
Nidoqueen,10
Nidoran-F,10
Nidoran-M,10
Nidorina,10
Nidorino,10
Nincada,16
Ninetales,4
Ninjask,16
Noctowl,13
Noibat,13
Noivern,13
Nosepass,7
Numel,7
Nuzleaf,5
Octillery,3
Oddish,5
Omanyte,3
Omastar,3
Onix,7
Oshawott,12
Pachirisu,11
Palkia,8
Palpitoad,3
Pancham,9
Pangoro,9
Panpour,12
Pansage,5
Pansear,17
Paras,5
Parasect,5
Patrat,10
Pawniard,9
Pelipper,13
Persian,9
Petilil,5
Phanpy,7
Phantump,4
Phione,3
Pichu,14
Pidgeot,13
Pidgeotto,13
Pidgey,13
Pidove,13
Pignite,17
Pikachu,14
Piloswine,12
Pineco,7
Pinsir,1
Piplup,12
Plusle,14
Politoed,3
Poliwag,3
Poliwhirl,3
Poliwrath,3
Ponyta,17
Poochyena,9
Porygon,0
Porygon2,0
Porygon-Z,0
Primeape,1
Prinplup,12
Probopass,7
Psyduck,12
Pumpkaboo,4
Pumpkaboo-Large,15
Pumpkaboo-Small,15
Pumpkaboo-Super,15
Pupitar,7
Purrloin,9
Purugly,10
Pyroar,17
Quagsire,3
Quilava,17
Quilladin,7
Qwilfish,3
Raichu,14
Raikou,11
Ralts,6
Rampardos,7
Rapidash,17
Raticate,10
Rattata,10
Regice,7
Regigigas,7
Regirock,7
Registeel,7
Relicanth,3
Remoraid,3
Reshiram,8
Reuniclus,0
Rhydon,7
Rhyhorn,7
Rhyperior,7
Riolu,1
Roggenrola,7
Roselia,5
Roserade,5
Rotom,11
Rotom-Fan,11
Rotom-Frost,11
Rotom-Heat,11
Rotom-Mow,11
Rotom-Wash,11
Rufflet,13
Sableye,9
Salamence,8
Samurott,12
Sandile,9
Sandshrew,10
Sandslash,10
Sawk,1
Sawsbuck,5
Scatterbug,15
Sceptile,5
Scizor,16
Scolipede,7
Scrafty,9
Scraggy,9
Scyther,16
Seadra,3
Seaking,3
Sealeo,3
Seedot,5
Seel,3
Seismitoad,3
Sentret,10
Serperior,5
Servine,5
Seviper,9
Sewaddle,5
Sharpedo,12
Shaymin,5
Shaymin-Sky,5
Shedinja,16
Shelgon,8
Shellder,3
Shellos,3
Shelmet,16
Shieldon,7
Shiftry,5
Shinx,11
Shroomish,5
Shuckle,7
Shuppet,4
Sigilyph,6
Silcoon,15
Simipour,12
Simisage,5
Simisear,17
Skarmory,13
Skiddo,5
Skiploom,5
Skitty,14
Skorupi,9
Skrelp,3
Skuntank,9
Slaking,10
Slakoth,10
Sliggoo,8
Slowbro,6
Slowking,6
Slowpoke,6
Slugma,4
Slurpuff,14
Smeargle,15
Smoochum,6
Sneasel,9
Snivy,5
Snorlax,7
Snorunt,12
Snover,5
Snubbull,14
Solosis,0
Solrock,0
Spearow,13
Spewpa,15
Spheal,3
Spinarak,16
Spinda,14
Spiritomb,4
Spoink,6
Spritzee,0
Squirtle,12
Stantler,6
Staraptor,13
Staravia,13
Starly,13
Starmie,0
Staryu,3
Steelix,7
Steelix-Mega,7
Stoutland,14
Stunfisk,7
Stunky,9
Sudowoodo,7
Suicune,3
Sunflora,5
Sunkern,5
Surskit,3
Swablu,13
Swadloon,5
Swalot,4
Swampert,12
Swanna,13
Swellow,13
Swinub,12
Swirlix,14
Swoobat,6
Sylveon,14
Taillow,13
Talonflame,13
Tangela,5
Tangrowth,5
Tauros,8
Teddiursa,10
Tentacool,3
Tentacruel,3
Tepig,17
Terrakion,7
Throh,1
Thundurus,11
Thundurus-Therian,11
Timburr,1
Tirtouga,7
Togekiss,14
Togepi,14
Togetic,14
Torchic,17
Torkoal,7
Tornadus,9
Tornadus-Therian,9
Torterra,5
Totodile,12
Toxicroak,1
Tranquill,13
Trapinch,16
Treecko,5
Trevenant,4
Tropius,5
Trubbish,4
Turtwig,5
Tympole,3
Tynamo,11
Typhlosion,17
Tyranitar,7
Tyrantrum,8
Tyrogue,1
Tyrunt,8
Umbreon,14
Unfezant,13
Unown,15
Ursaring,10
Uxie,6
Vanillish,11
Vanillite,11
Vanilluxe,11
Vaporeon,14
Venipede,7
Venomoth,16
Venonat,16
Venusaur,5
Vespiquen,16
Vibrava,16
Victini,6
Victreebel,5
Vigoroth,10
Vileplume,5
Virizion,5
Vivillon,16
Volbeat,16
Volcanion,7
Volcarona,16
Voltorb,11
Vullaby,13
Vulpix,4
Wailmer,3
Wailord,3
Walrein,3
Wartortle,12
Watchog,10
Weavile,9
Weedle,15
Weepinbell,5
Weezing,4
Whimsicott,5
Whirlipede,7
Whiscash,3
Whismur,14
Wigglytuff,14
Wingull,13
Wobbuffet,15
Woobat,6
Wooper,3
Wormadam,5
Wormadam-Sandy,16
Wormadam-Trash,0
Wurmple,15
Wynaut,15
Xatu,6
Yamask,4
Yanma,16
Yanmega,16
Yveltal,13
Zangoose,10
Zapdos,13
Zebstrika,11
Zekrom,8
Zigzagoon,10
Zoroark,9
Zorua,9
Zubat,13
