Pokemon,cluster_p2,tipo_dominante,segundo_tipo
Abomasnow,2,grass,ice
Abra,7,psychic,dark
Absol,0,dark,psychic
Accelgor,10,bug,poison
Aegislash,5,steel,rock
Aerodactyl,5,rock,flying
Aggron,5,rock,fighting
Aipom,1,dark,fighting
Alakazam,7,psychic,dark
Alomomola,3,water,psychic
Altaria,6,dragon,flying
Amaura,2,rock,ice
Ambipom,1,dark,fighting
Amoonguss,8,grass,poison
Ampharos,11,electric,fighting
Anorith,5,rock,bug
Arbok,17,poison,dark
Arcanine,16,fire,fighting
Arceus,14,psychic,water
Arceus-Bug,14,psychic,water
Arceus-Dark,14,psychic,water
Arceus-Dragon,14,psychic,water
Arceus-Electric,14,psychic,water
Arceus-Fairy,14,psychic,water
Arceus-Fighting,14,psychic,water
Arceus-Fire,14,psychic,water
Arceus-Flying,14,psychic,water
Arceus-Ghost,14,psychic,water
Arceus-Grass,14,psychic,water
Arceus-Ground,14,psychic,water
Arceus-Ice,14,psychic,water
Arceus-Poison,14,psychic,water
Arceus-Psychic,14,psychic,water
Arceus-Rock,14,psychic,water
Arceus-Steel,14,psychic,water
Arceus-Water,14,psychic,water
Archen,5,rock,flying
Archeops,5,rock,flying
Ariados,10,poison,bug
Armaldo,5,rock,ground
Aromatisse,15,psychic,fairy
Aron,5,rock,steel
Articuno,2,ice,flying
Audino,15,psychic,fire
Aurorus,2,rock,ice
Avalugg,2,ice,rock
Axew,14,dragon,dark
Azelf,7,psychic,fire
Azumarill,3,water,fighting
Azurill,3,water,ice
Bagon,14,dragon,fire
Baltoy,7,psychic,rock
Banette,13,ghost,dark
Barbaracle,5,rock,water
Barboach,3,water,ground
Basculin,3,water,ice
Bastiodon,5,rock,ground
Bayleef,8,grass,psychic
Beartic,2,ice,fighting
Beautifly,10,bug,flying
Beedrill,10,poison,bug
Beheeyem,7,psychic,dark
Beldum,15,steel,psychic
Bellossom,8,grass,poison
Bellsprout,8,grass,poison
Bergmite,2,ice,rock
Bibarel,3,water,electric
Bidoof,1,electric,rock
Binacle,3,rock,water
Bisharp,0,dark,rock
Blastoise,3,water,ice
